gene,tissue,median_expression
RAMP3,Adipose_Subcutaneous,130.304
RAMP3,Liver,6.76714
RAMP3,Whole_Blood,0.564341
RAMP3,Muscle_Skeletal,10.7097
RAMP3,Thyroid,140.712
RAMP3,Pancreas,10.7978
RAMP3,Kidney_Cortex,69.6629
RAMP3,Pituitary,31.4008
RAMP3,Artery_Aorta,29.6149
RAMP3,Heart_Left_Ventricle,36.9712
RAMP3,Brain_Cortex,10.2176
RAMP3,Ovary,9.20301
RAMP3,Testis,12.5064
RAMP3,Small_Intestine_Terminal_Ileum,39.7722
CALCR,Adipose_Subcutaneous,
CALCR,Liver,
CALCR,Whole_Blood,
CALCR,Muscle_Skeletal,
CALCR,Thyroid,
CALCR,Pancreas,
CALCR,Kidney_Cortex,
CALCR,Pituitary,
CALCR,Artery_Aorta,
CALCR,Heart_Left_Ventricle,
CALCR,Brain_Cortex,
CALCR,Ovary,
CALCR,Testis,
CALCR,Small_Intestine_Terminal_Ileum,
