cell_type,cluster,nTPM
Endothelial cells,Endothelial and mural cells,409.5
Endothelial cell,Endothelial and mural cells,143.3
Renal nephron cells,Specialized epithelial cells,87.0
Stellate cells,Mesenchymal cells,51.6
Stromal cells,Mesenchymal cells,29.9
Spermatogenic cell types,Germ cells,25.1
Oligodendrocyte,Glial cells,23.5
Deep-layer corticothalamic and 6b,Neuronal cells,19.7
Barrier epithelial cells,Specialized epithelial cells,15.9
Vascular associated smooth muscle cell,Endothelial and mural cells,14.3
Mononuclear phagocytes,Blood and immune cells,9.2
Neuronal cells,Neuronal cells,7.6
Glial cells,Glial cells,7.5
Mural cells,Endothelial and mural cells,7.2
Deep-layer near-projecting,Neuronal cells,6.7
Luminal cells,Glandular epithelial cells,6.4
T-cells,Blood and immune cells,5.9
Mammillary body,Neuronal cells,4.8
Myocytes,Muscle cells,4.3
Astrocyte,Glial cells,3.9
Gastric glandular cells,Glandular epithelial cells,3.5
Suprabasal cells,Squamous epithelial cells,3.1
Secretory gland support,Specialized epithelial cells,2.9
Fibroblasts,Mesenchymal cells,2.8
Thalamic excitatory,Neuronal cells,2.6
Stem cells,Stem and proliferating cells,2.5
Miscellaneous,Neuronal cells,2.5
Splatter,Neuronal cells,2.5
Upper-layer intratelencephalic,Neuronal cells,2.3
Committed oligodendrocyte precursor,Glial cells,2.3
Neutrophils,Blood and immune cells,2.2
Upper rhombic lip,Neuronal cells,2.2
Secretory cells,Glandular epithelial cells,2.1
Deep-layer intratelencephalic,Neuronal cells,2.1
Lamp5-lhx6 and chandelier,Neuronal cells,1.9
Pericyte,Endothelial and mural cells,1.9
Ductal cells,Specialized epithelial cells,1.7
Hippocampal dentate gyrus,Neuronal cells,1.6
Ciliated cells,Ciliated cells,1.5
B-cells,Blood and immune cells,1.5
Ependymal cell,Ciliated cells,1.5
Nk-cells,Blood and immune cells,1.4
Amygdala excitatory,Neuronal cells,1.4
Memory CD4 T-cell Th2,T-cells,1.4
Plasma cells,Blood and immune cells,1.3
Proliferating cells,Stem and proliferating cells,1.3
Hepatocytes,Specialized epithelial cells,1.2
Glandular cells,Glandular epithelial cells,1.2
Reproductive supporting cells,Specialized epithelial cells,1.1
Mast cells,Blood and immune cells,1.1
Alveolar cells,Specialized epithelial cells,1.0
Adrenal endocrine cells,Endocrine cells,0.9
Pancreatic islet cells,Endocrine cells,0.9
Basal cells,Specialized epithelial cells,0.9
Adipocytes,Mesenchymal cells,0.9
Fibro-adipogenic progenitors,Mesenchymal cells,0.9
Pigment cells,Pigment cells,0.7
Mge interneuron,Neuronal cells,0.7
Leukocyte,Blood and immune cells,0.7
Non-switched memory B-cell,B-cells,0.7
Apical squamous epithelial cells,Squamous epithelial cells,0.6
Dendritic cells,Blood and immune cells,0.6
Eccrine sweat gland cells,Glandular epithelial cells,0.600
Central nervous system macrophage,Glial cells,0.6
Neutrophil,Granulocytes,0.6
Outer root sheath cells,Specialized epithelial cells,0.468
NK-cells (Lung),Blood and immune cells,0.466
Adipocytes (Skin),Mesenchymal cells,0.463
Undifferentiated cells (Pituitary gland),Stem and proliferating cells,0.431
Ionocytes,Specialized epithelial cells,0.4
Acinar cells,Glandular epithelial cells,0.4
Smooth muscle cells,Muscle cells,0.4
Hippocampal ca1-3,Neuronal cells,0.4
